sno,itemid,condition,distractor_animacy,distractor_subjecthood
1,1,p,,
2,2,p,,
3,3,p,,
4,4,p,,
5,5,p,,
6,6,p,,
7,7,1a,no,no
8,7,1b,yes,no
9,7,1c,no,yes
10,7,1d,yes,yes
11,8,1a,no,no
12,8,1b,yes,no
13,8,1c,no,yes
14,8,1d,yes,yes
15,9,1a,no,no
16,9,1b,yes,no
17,9,1c,no,yes
18,9,1d,yes,yes
19,10,1a,no,no
20,10,1b,yes,no
21,10,1c,no,yes
22,10,1d,yes,yes
23,11,1a,no,no
24,11,1b,yes,no
25,11,1c,no,yes
26,11,1d,yes,yes
27,12,1a,no,no
28,12,1b,yes,no
29,12,1c,no,yes
30,12,1d,yes,yes
31,13,1a,no,no
32,13,1b,yes,no
33,13,1c,no,yes
34,13,1d,yes,yes
35,14,1a,no,no
36,14,1b,yes,no
37,14,1c,no,yes
38,14,1d,yes,yes
39,15,1a,no,no
40,15,1b,yes,no
41,15,1c,no,yes
42,15,1d,yes,yes
43,16,1a,no,no
44,16,1b,yes,no
45,16,1c,no,yes
46,16,1d,yes,yes
47,17,1a,no,no
48,17,1b,yes,no
49,17,1c,no,yes
50,17,1d,yes,yes
51,18,1a,no,no
52,18,1b,yes,no
53,18,1c,no,yes
54,18,1d,yes,yes
55,19,1a,no,no
56,19,1b,yes,no
57,19,1c,no,yes
58,19,1d,yes,yes
59,20,1a,no,no
60,20,1b,yes,no
61,20,1c,no,yes
62,20,1d,yes,yes
63,21,1a,no,no
64,21,1b,yes,no
65,21,1c,no,yes
66,21,1d,yes,yes
67,22,1a,no,no
68,22,1b,yes,no
69,22,1c,no,yes
70,22,1d,yes,yes
71,23,1a,no,no
72,23,1b,yes,no
73,23,1c,no,yes
74,23,1d,yes,yes
75,24,1a,no,no
76,24,1b,yes,no
77,24,1c,no,yes
78,24,1d,yes,yes
79,25,1a,no,no
80,25,1b,yes,no
81,25,1c,no,yes
82,25,1d,yes,yes
83,26,1a,no,no
84,26,1b,yes,no
85,26,1c,no,yes
86,26,1d,yes,yes
87,27,1a,no,no
88,27,1b,yes,no
89,27,1c,no,yes
90,27,1d,yes,yes
91,28,1a,no,no
92,28,1b,yes,no
93,28,1c,no,yes
94,28,1d,yes,yes
95,29,1a,no,no
96,29,1b,yes,no
97,29,1c,no,yes
98,29,1d,yes,yes
99,30,1a,no,no
100,30,1b,yes,no
101,30,1c,no,yes
102,30,1d,yes,yes
103,31,1a,no,no
104,31,1b,yes,no
105,31,1c,no,yes
106,31,1d,yes,yes
107,32,1a,no,no
108,32,1b,yes,no
109,32,1c,no,yes
110,32,1d,yes,yes
111,33,1a,no,no
112,33,1b,yes,no
113,33,1c,no,yes
114,33,1d,yes,yes
115,34,1a,no,no
116,34,1b,yes,no
117,34,1c,no,yes
118,34,1d,yes,yes
119,35,1a,no,no
120,35,1b,yes,no
121,35,1c,no,yes
122,35,1d,yes,yes
123,36,1a,no,no
124,36,1b,yes,no
125,36,1c,no,yes
126,36,1d,yes,yes
127,37,1a,no,no
128,37,1b,yes,no
129,37,1c,no,yes
130,37,1d,yes,yes
131,38,1a,no,no
132,38,1b,yes,no
133,38,1c,no,yes
134,38,1d,yes,yes
135,39,1a,no,no
136,39,1b,yes,no
137,39,1c,no,yes
138,39,1d,yes,yes
139,40,1a,no,no
140,40,1b,yes,no
141,40,1c,no,yes
142,40,1d,yes,yes
143,41,1a,no,no
144,41,1b,yes,no
145,41,1c,no,yes
146,41,1d,yes,yes
147,42,1a,no,no
148,42,1b,yes,no
149,42,1c,no,yes
150,42,1d,yes,yes
151,43,1a,no,no
152,43,1b,yes,no
153,43,1c,no,yes
154,43,1d,yes,yes
155,44,1a,no,no
156,44,1b,yes,no
157,44,1c,no,yes
158,44,1d,yes,yes
159,45,1a,no,no
160,45,1b,yes,no
161,45,1c,no,yes
162,45,1d,yes,yes
163,46,1a,no,no
164,46,1b,yes,no
165,46,1c,no,yes
166,46,1d,yes,yes
167,47,2a,,
168,47,2b,,
169,47,2c,,
170,47,2d,,
171,48,2a,,
172,48,2b,,
173,48,2c,,
174,48,2d,,
175,49,2a,,
176,49,2b,,
177,49,2c,,
178,49,2d,,
179,50,2a,,
180,50,2b,,
181,50,2c,,
182,50,2d,,
183,51,2a,,
184,51,2b,,
185,51,2c,,
186,51,2d,,
187,52,2a,,
188,52,2b,,
189,52,2c,,
190,52,2d,,
191,53,2a,,
192,53,2b,,
193,53,2c,,
194,53,2d,,
195,54,2a,,
196,54,2b,,
197,54,2c,,
198,54,2d,,
199,55,2a,,
200,55,2b,,
201,55,2c,,
202,55,2d,,
203,56,2a,,
204,56,2b,,
205,56,2c,,
206,56,2d,,
207,57,2a,,
208,57,2b,,
209,57,2c,,
210,57,2d,,
211,58,2a,,
212,58,2b,,
213,58,2c,,
214,58,2d,,
215,59,2a,,
216,59,2b,,
217,59,2c,,
218,59,2d,,
219,60,2a,,
220,60,2b,,
221,60,2c,,
222,60,2d,,
223,61,2a,,
224,61,2b,,
225,61,2c,,
226,61,2d,,
227,62,2a,,
228,62,2b,,
229,62,2c,,
230,62,2d,,
231,63,2a,,
232,63,2b,,
233,63,2c,,
234,63,2d,,
235,64,2a,,
236,64,2b,,
237,64,2c,,
238,64,2d,,
239,65,2a,,
240,65,2b,,
241,65,2c,,
242,65,2d,,
243,66,2a,,
244,66,2b,,
245,66,2c,,
246,66,2d,,
247,67,2a,,
248,67,2b,,
249,67,2c,,
250,67,2d,,
251,68,2a,,
252,68,2b,,
253,68,2c,,
254,68,2d,,
255,69,2a,,
256,69,2b,,
257,69,2c,,
258,69,2d,,
259,70,2a,,
260,70,2b,,
261,70,2c,,
262,70,2d,,
263,71,2a,,
264,71,2b,,
265,71,2c,,
266,71,2d,,
267,72,2a,,
268,72,2b,,
269,72,2c,,
270,72,2d,,
271,73,2a,,
272,73,2b,,
273,73,2c,,
274,73,2d,,
275,74,2a,,
276,74,2b,,
277,74,2c,,
278,74,2d,,
279,75,2a,,
280,75,2b,,
281,75,2c,,
282,75,2d,,
283,76,2a,,
284,76,2b,,
285,76,2c,,
286,76,2d,,
287,77,2a,,
288,77,2b,,
289,77,2c,,
290,77,2d,,
291,78,2a,,
292,78,2b,,
293,78,2c,,
294,78,2d,,
295,79,f,,
296,80,f,,
297,81,f,,
298,82,f,,
299,83,f,,
300,84,f,,
301,85,f,,
302,86,f,,
303,87,f,,
304,88,f,,
305,89,f,,
306,90,f,,
307,91,f,,
308,92,f,,
309,93,f,,
310,94,f,,
311,95,f,,
312,96,f,,
313,97,f,,
314,98,f,,
315,99,f,,
316,100,f,,
317,101,f,,
318,102,f,,
319,103,f,,
320,104,f,,
321,105,f,,
322,106,f,,
323,107,f,,
324,108,f,,
325,109,f,,
326,110,f,,
327,111,f,,
328,112,f,,
329,113,f,,
330,114,f,,
331,115,f,,
332,116,f,,
333,117,f,,
334,118,f,,
335,119,f,,
336,120,f,,
337,121,f,,
338,122,f,,
339,123,f,,
340,124,f,,
341,125,f,,
342,126,f,,
343,127,f,,
344,128,f,,
345,129,f,,
346,130,f,,
347,131,f,,
348,132,f,,
349,133,f,,
350,134,f,,
351,135,f,,
352,136,f,,
353,137,f,,
354,138,f,,
